File;Fallo
barbell_hip_thrust.png;"BIOMECÁNICA/ANATOMÍA (CRÍTICO) - Sujeto Incorrecto. La imagen se titula 'barbell_hip_thrust.png' pero muestra a la modelo preparándose para un levantamiento de peso muerto (deadlift) o una sentadilla (squat) con barra. La ejecución real estándar de un ""Barbell Hip Thrust"" implica al practicante recostado de espaldas con los hombros apoyados en un banco y la barra sobre las caderas, no en esta posición de pie o en cuclillas. La imagen NO representa el ejercicio esperado según su nombre de archivo."
barbell_incline_bench_press___medium_grip.png;"GRAVEDAD/LEVITACIÓN. La sombra de contacto bajo las patas del banco es excesivamente difusa y no define claramente el punto de apoyo real sobre el suelo. El banco parece ligeramente elevado o ""flotando"" en lugar de estar firmemente asentado, lo que incumple las leyes fundamentales de la física de contacto y gravedad."
barbell_incline_shoulder_raise.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto: La imagen muestra a la modelo sosteniendo una barra en la posición de rack trasero, que es la postura inicial para ejercicios como la sentadilla o el buenos días. Esto no se corresponde en absoluto con un ""barbell incline shoulder raise"" (elevación de hombros inclinada con barra), un ejercicio que no existe con esta mecánica o nombre, o al menos no se asemeja a ninguna variante de elevación de hombros estándar. Hay una incoherencia crítica entre el nombre del archivo y la acción representada."
barbell_rear_delt_row.png;"BIOMECÁNICA/ANATOMÍA: El ejercicio representado en la imagen (una flexión de cadera con barra en la espalda, similar a un ""Good Morning"" o ""Peso Muerto Rumano"") NO se corresponde con la ejecución real estándar de un ""Barbell Rear Delt Row"", el cual es un ejercicio de tracción para deltoides posteriores. La imagen no refleja el ejercicio indicado en el nombre de archivo."
barbell_rollout_from_bench.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El ejercicio representado NO es un ""barbell rollout"". Un ""barbell rollout"" es un ejercicio de core y abdominales que se realiza rodando una barra desde el suelo, no una hiperextensión de espalda sobre un banco. La ejecución mostrada, una hiperextensión de espalda con barra sobre un banco plano sin anclaje para las piernas, es biomecánicamente inestable, ineficaz para el desarrollo muscular y representa un riesgo significativo de lesión para la columna vertebral y el equilibrio, siendo una forma incorrecta y no estándar de realizar cualquier ejercicio con barra."
barbell_seated_calf_raise.png;"BIOMECÁNICA/ANATOMÍA CRÍTICA. El ejercicio representado en la imagen NO es una ""barbell seated calf raise"" (elevación de gemelos sentado con barra). La postura de la modelo corresponde a un ejercicio de core o de flexores de cadera, lo que constituye un ""Sujeto Incorrecto"" grave para el nombre del archivo proporcionado."
barbell_shoulder_press.png;Modelo incompleto. Al no mostrar los pies del sujeto, y consecuentemente la ausencia de una sombra de contacto clara que demuestre apoyo real en el suelo, se genera una incoherencia de gravedad y una apariencia de levitación del tronco inferior.
barbell_shrug.png;"Sujeto Incorrecto: El ejercicio en la imagen no corresponde con el nombre de archivo 'barbell_shrug.png'. La imagen muestra la posición inicial para una sentadilla trasera (back squat) o buenos días (good morning), mientras que un ""barbell shrug"" implica levantar la barra desde la parte frontal del cuerpo. Esto constituye una incoherencia biomecánica fundamental con el ejercicio que se supone que representa."
barbell_shrug_behind_the_back.png;"BIOMECÁNICA/ANATOMÍA CRÍTICA. El ejercicio representado no se corresponde con la ejecución estándar de un ""barbell shrug behind the back"". La postura mostrada es la de una sentadilla con bisagra de cadera o la fase inicial de un ""bent-over row"" o ""Romanian deadlift"" con la barra por detrás, no un encogimiento de hombros (shrug), que implica una elevación de la escápula con un torso más vertical o ligeramente inclinado. La ejecución es incorrecta para el ejercicio descrito en el nombre del archivo."
bent_arm_barbell_pullover.png;"El ejercicio representado no corresponde con la ejecución estándar de un ""bent-arm barbell pullover"" (el nombre del archivo de imagen). En la imagen, los brazos del modelo están casi completamente extendidos y la barra se encuentra directamente sobre el pecho, lo cual es la fase final de un press de banca. Un ""bent-arm barbell pullover"" se caracteriza por mantener los codos significativamente flexionados y un rango de movimiento que lleva la barra desde una posición detrás de la cabeza hasta por encima del pecho, enfatizando los dorsales y serratos, lo cual no se observa en la postura actual."
bent_knee_hip_raise.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado en la imagen no corresponde con la ejecución estándar de un ""Bent-Knee Hip Raise"" (Elevación de Cadera con Rodillas Dobladas). Para este ejercicio, los pies deben estar apoyados en el suelo y la cadera debe elevarse. En la imagen, la cadera permanece en el suelo y los pies están elevados, lo cual es más propio de una posición inicial de un crunch inverso o una elevación de piernas, no de una elevación de cadera. Esto constituye una incoherencia crítica con el nombre del archivo y la representación biomecánica del ejercicio."
bent_over_barbell_row.png;"Postura biomecánicamente subóptima. Se observa un ligero redondeo de la parte superior de la espalda (columna torácica) y protracción de los hombros, lo cual se desvía de la ejecución estándar del ""bent-over barbell row"" que requiere una columna vertebral neutra para la seguridad y eficacia del ejercicio."
bent_over_low_pulley_side_lateral.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La postura del modelo con la barra recta desde una polea baja en posición ""bent-over"" es biomecánicamente inconsistente con la ejecución estándar de un ""side lateral"" (elevación lateral) para deltoides. Esta configuración es más adecuada para una elevación frontal (front raise), no para un movimiento lateral que involucre abducción en el plano frontal, especialmente con una barra recta que restringe el movimiento lateral de forma antinatural."
bent_over_one_arm_long_bar_row.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado NO se corresponde con el nombre del archivo 'bent_over_one_arm_long_bar_row.png'. El modelo está utilizando una barra corta a dos manos, y no está realizando una ""sentadilla con barra larga a un brazo"" (bent-over one-arm long bar row). La ejecución, el equipo y el número de brazos utilizados son incorrectos para la descripción."
body_tricep_press.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La imagen se titula 'body_tricep_press.png', lo que implica un ejercicio de press de tríceps. Sin embargo, la postura de la modelo es una posición de sentadilla estática o de preparación, con las manos simplemente unidas frente al pecho. No se observa ninguna acción de ""press"" ni una clara implicación principal de los tríceps en la ejecución visible del ejercicio. La pose no representa el ejercicio indicado por el nombre del archivo."
box_squat.png;"El ejercicio representado en la imagen no se corresponde con el nombre de archivo 'box_squat.png'. La ejecución de una ""box squat"" (sentadilla con cajón) requiere la presencia de un cajón o banco al que el modelo debería descender para sentarse o tocar ligeramente. En la imagen, este elemento crucial está ausente, mostrando en su lugar una sentadilla trasera estándar. Esta incoherencia entre la denominación del ejercicio y su representación visual es un fallo crítico de calidad."
