Archivo;Fallo
barbell_hip_thrust.png;"BIOMECÁNICA/ANATOMÍA (CRÍTICO) - Sujeto Incorrecto. La imagen se titula 'barbell_hip_thrust.png' pero muestra a la modelo preparándose para un levantamiento de peso muerto (deadlift) o una sentadilla (squat) con barra. La ejecución real estándar de un ""Barbell Hip Thrust"" implica al practicante recostado de espaldas con los hombros apoyados en un banco y la barra sobre las caderas, no en esta posición de pie o en cuclillas. La imagen NO representa el ejercicio esperado según su nombre de archivo."
barbell_incline_bench_press___medium_grip.png;"GRAVEDAD/LEVITACIÓN. La sombra de contacto bajo las patas del banco es excesivamente difusa y no define claramente el punto de apoyo real sobre el suelo. El banco parece ligeramente elevado o ""flotando"" en lugar de estar firmemente asentado, lo que incumple las leyes fundamentales de la física de contacto y gravedad."
barbell_incline_shoulder_raise.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto: La imagen muestra a la modelo sosteniendo una barra en la posición de rack trasero, que es la postura inicial para ejercicios como la sentadilla o el buenos días. Esto no se corresponde en absoluto con un ""barbell incline shoulder raise"" (elevación de hombros inclinada con barra), un ejercicio que no existe con esta mecánica o nombre, o al menos no se asemeja a ninguna variante de elevación de hombros estándar. Hay una incoherencia crítica entre el nombre del archivo y la acción representada."
barbell_rear_delt_row.png;"BIOMECÁNICA/ANATOMÍA: El ejercicio representado en la imagen (una flexión de cadera con barra en la espalda, similar a un ""Good Morning"" o ""Peso Muerto Rumano"") NO se corresponde con la ejecución real estándar de un ""Barbell Rear Delt Row"", el cual es un ejercicio de tracción para deltoides posteriores. La imagen no refleja el ejercicio indicado en el nombre de archivo."
barbell_rollout_from_bench.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El ejercicio representado NO es un ""barbell rollout"". Un ""barbell rollout"" es un ejercicio de core y abdominales que se realiza rodando una barra desde el suelo, no una hiperextensión de espalda sobre un banco. La ejecución mostrada, una hiperextensión de espalda con barra sobre un banco plano sin anclaje para las piernas, es biomecánicamente inestable, ineficaz para el desarrollo muscular y representa un riesgo significativo de lesión para la columna vertebral y el equilibrio, siendo una forma incorrecta y no estándar de realizar cualquier ejercicio con barra."
barbell_seated_calf_raise.png;"BIOMECÁNICA/ANATOMÍA CRÍTICA. El ejercicio representado en la imagen NO es una ""barbell seated calf raise"" (elevación de gemelos sentado con barra). La postura de la modelo corresponde a un ejercicio de core o de flexores de cadera, lo que constituye un ""Sujeto Incorrecto"" grave para el nombre del archivo proporcionado."
barbell_shoulder_press.png;Modelo incompleto. Al no mostrar los pies del sujeto, y consecuentemente la ausencia de una sombra de contacto clara que demuestre apoyo real en el suelo, se genera una incoherencia de gravedad y una apariencia de levitación del tronco inferior.
barbell_shrug.png;"Sujeto Incorrecto: El ejercicio en la imagen no corresponde con el nombre de archivo 'barbell_shrug.png'. La imagen muestra la posición inicial para una sentadilla trasera (back squat) o buenos días (good morning), mientras que un ""barbell shrug"" implica levantar la barra desde la parte frontal del cuerpo. Esto constituye una incoherencia biomecánica fundamental con el ejercicio que se supone que representa."
barbell_shrug_behind_the_back.png;"BIOMECÁNICA/ANATOMÍA CRÍTICA. El ejercicio representado no se corresponde con la ejecución estándar de un ""barbell shrug behind the back"". La postura mostrada es la de una sentadilla con bisagra de cadera o la fase inicial de un ""bent-over row"" o ""Romanian deadlift"" con la barra por detrás, no un encogimiento de hombros (shrug), que implica una elevación de la escápula con un torso más vertical o ligeramente inclinado. La ejecución es incorrecta para el ejercicio descrito en el nombre del archivo."
bent_arm_barbell_pullover.png;"El ejercicio representado no corresponde con la ejecución estándar de un ""bent-arm barbell pullover"" (el nombre del archivo de imagen). En la imagen, los brazos del modelo están casi completamente extendidos y la barra se encuentra directamente sobre el pecho, lo cual es la fase final de un press de banca. Un ""bent-arm barbell pullover"" se caracteriza por mantener los codos significativamente flexionados y un rango de movimiento que lleva la barra desde una posición detrás de la cabeza hasta por encima del pecho, enfatizando los dorsales y serratos, lo cual no se observa en la postura actual."
bent_knee_hip_raise.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado en la imagen no corresponde con la ejecución estándar de un ""Bent-Knee Hip Raise"" (Elevación de Cadera con Rodillas Dobladas). Para este ejercicio, los pies deben estar apoyados en el suelo y la cadera debe elevarse. En la imagen, la cadera permanece en el suelo y los pies están elevados, lo cual es más propio de una posición inicial de un crunch inverso o una elevación de piernas, no de una elevación de cadera. Esto constituye una incoherencia crítica con el nombre del archivo y la representación biomecánica del ejercicio."
bent_over_barbell_row.png;"Postura biomecánicamente subóptima. Se observa un ligero redondeo de la parte superior de la espalda (columna torácica) y protracción de los hombros, lo cual se desvía de la ejecución estándar del ""bent-over barbell row"" que requiere una columna vertebral neutra para la seguridad y eficacia del ejercicio."
bent_over_low_pulley_side_lateral.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La postura del modelo con la barra recta desde una polea baja en posición ""bent-over"" es biomecánicamente inconsistente con la ejecución estándar de un ""side lateral"" (elevación lateral) para deltoides. Esta configuración es más adecuada para una elevación frontal (front raise), no para un movimiento lateral que involucre abducción en el plano frontal, especialmente con una barra recta que restringe el movimiento lateral de forma antinatural."
bent_over_one_arm_long_bar_row.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado NO se corresponde con el nombre del archivo 'bent_over_one_arm_long_bar_row.png'. El modelo está utilizando una barra corta a dos manos, y no está realizando una ""sentadilla con barra larga a un brazo"" (bent-over one-arm long bar row). La ejecución, el equipo y el número de brazos utilizados son incorrectos para la descripción."
body_tricep_press.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La imagen se titula 'body_tricep_press.png', lo que implica un ejercicio de press de tríceps. Sin embargo, la postura de la modelo es una posición de sentadilla estática o de preparación, con las manos simplemente unidas frente al pecho. No se observa ninguna acción de ""press"" ni una clara implicación principal de los tríceps en la ejecución visible del ejercicio. La pose no representa el ejercicio indicado por el nombre del archivo."
bodyweight_flyes.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El ejercicio representado no se corresponde con la ejecución estándar ni el objetivo biomecánico de unas ""bodyweight flyes"". Las ""flyes"" (aperturas) son un movimiento de aducción horizontal del hombro con el codo mayormente extendido para aislar el pectoral. La postura mostrada con una barra, codos flexionados y en posición de plancha profunda, es más consistente con una flexión de brazos (push-up) con barra o una posición estática de un ""barbell rollout"", y no con el movimiento dinámico y la forma de activación muscular esperada para unas ""bodyweight flyes"" tal como se conocen universalmente en biomecánica del ejercicio."
bosu_ball_cable_crunch_with_side_bends.png;"Sujeto Incorrecto - La imagen muestra una posición estática de plancha inclinada o suspensión con asistencia, donde el torso se mantiene extendido. Esto NO representa la ejecución de un ""cable crunch"" (que implica flexión espinal) ni de ""side bends"" (que implica flexión lateral espinal), como sugiere el nombre del archivo 'bosu_ball_cable_crunch_with_side_bends.png'. La acción mostrada no coincide con el ejercicio descrito."
bottoms_up_clean_from_the_hang_position.png;"BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El nombre del archivo 'bottoms_up_clean_from_the_hang_position.png' describe un ""clean bottoms-up"", lo que implica sostener la kettlebell invertida (la parte de la campana hacia arriba). Sin embargo, la imagen muestra la kettlebell sostenida en la posición estándar (la parte de la campana hacia abajo). La ejecución del ejercicio no se corresponde con la descripción específica ""bottoms-up""."
box_squat.png;"El ejercicio representado en la imagen no se corresponde con el nombre de archivo 'box_squat.png'. La ejecución de una ""box squat"" (sentadilla con cajón) requiere la presencia de un cajón o banco al que el modelo debería descender para sentarse o tocar ligeramente. En la imagen, este elemento crucial está ausente, mostrando en su lugar una sentadilla trasera estándar. Esta incoherencia entre la denominación del ejercicio y su representación visual es un fallo crítico de calidad."
brachialis_smr.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio de liberación miofascial (SMR) que se muestra en la imagen está siendo realizado sobre la región lateral del muslo/cadera del modelo, no sobre el músculo braquial. Esto contradice directamente el nombre del archivo 'brachialis_smr.png', implicando un ""Sujeto Incorrecto"" para la descripción del ejercicio, lo cual es una incoherencia crítica."
bradford_rocky_presses.png;"Biomecánica/Anatomía (Sujeto Incorrecto). La imagen muestra a la modelo en una posición de inicio para una sentadilla con barra trasera (back squat), con la barra apoyada sobre el trapecio y los deltoides posteriores. Sin embargo, el nombre de archivo 'bradford_rocky_presses.png' implica que el ejercicio es algún tipo de ""press"". Esta postura NO es la ejecución real estándar para ningún tipo de press (ej. press de hombros frontal, press militar, press tras nuca), los cuales requieren una posición de la barra y/o de los brazos fundamentalmente diferente. Existe una incoherencia crítica entre el ejercicio sugerido por el nombre y la biomecánica de la posición mostrada."
butt_lift__bridge_.png;"Biomecánicamente, la ejecución del ejercicio ""butt lift bridge"" no se alinea con el estándar óptimo. Se observa una hiperextensión lumbar excesiva (arqueamiento de la espalda baja) y las caderas no alcanzan la extensión completa para formar una línea recta desde los hombros hasta las rodillas. Esto implica una activación subóptima de los glúteos y puede generar tensión innecesaria en la columna lumbar, desviándose de la forma estándar recomendada para maximizar el ""levantamiento de glúteos"" y la seguridad espinal."
butt_ups.png;Modelo flotando. El sujeto se encuentra en una posición de sentadilla profunda donde el tronco y los glúteos están suspendidos en el aire sin ningún punto de apoyo visible (silla, banco, pared). La sombra presente es de proyección, no de contacto directo para indicar un apoyo real del peso corporal en el suelo o una superficie, creando una incoherencia de gravedad.
cable_chest_press.png;GRAVEDAD/LEVITACIÓN CRÍTICO. La sombra de contacto bajo los pies del modelo es excesivamente tenue y difusa, no proporcionando una indicación clara y contundente de apoyo real y firme sobre la superficie. Aunque existe una ligera oscuridad, la falta de una sombra definida que demuestre la interacción de la luz y el cuerpo con el plano del suelo genera ambigüedad respecto a la perfecta estabilización y la gravedad en un entorno biomecánico realista.
cable_crossover.png;Falta la sombra de contacto en los pies del modelo y la base de la máquina de cables, lo que indica levitación y una ausencia de apoyo real contra el suelo, violando las leyes de la gravedad.
cable_crunch.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio en la imagen, nombrado como 'cable_crunch.png', no se parece a la ejecución real estándar de un cable crunch. La postura del modelo muestra una marcada extensión espinal (arco lumbar), mientras que un ""cable crunch"" estándar implica una flexión espinal (encorvamiento del torso hacia adelante) contra la resistencia. La postura mostrada es biomecánicamente inconsistente con el ejercicio que se supone que representa."
cable_hammer_curls___rope_attachment.png;GRAVEDAD/LEVITACIÓN CRÍTICA. El modelo carece de una superficie de apoyo visible y, consecuentemente, de sombras de contacto que indiquen su anclaje a la realidad. Esto crea una ilusión de levitación, violando las leyes fundamentales de la física.
cable_hip_adduction.png;"BIOMECÁNICA/ANATOMÍA CRÍTICA: La ejecución del ejercicio es incorrecta y biomecánicamente ineficiente/cuestionable. La resistencia se aplica a las extremidades inferiores a través de las manos, lo cual no es una configuración estándar ni efectiva para la aducción de cadera (o cualquier otro ejercicio de fuerza reconocido), haciendo que el ""sujeto incorrecto"" sea una falla fundamental."
cable_incline_triceps_extension.png;BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El nombre del archivo indica 'cable_incline_triceps_extension', pero el ejercicio representado en la imagen es claramente un 'cable chest fly' o 'crossover'. La ejecución no corresponde en absoluto a una extensión de tríceps, ni siquiera en una variación inclinada. Esto es una flagrante inconsistencia en la identificación del ejercicio.
cable_internal_rotation.png;"El ejercicio representado no corresponde con la ""rotación interna de cable"" (cable internal rotation) estándar. La postura y el punto de aplicación de la fuerza con el accesorio de cuerda, con las manos bajas y el torso inclinado hacia adelante, sugiere un ""pull-through de cable"" o un ejercicio de extensión de cadera, no un movimiento primario de rotación interna del hombro. Esto constituye una incoherencia biomecánica crítica con el nombre del ejercicio proporcionado."
cable_lying_triceps_extension.png;"BIOMECÁNICA/ANATOMÍA - El ejercicio representado NO corresponde a la ejecución estándar ni al objetivo biomecánico de una ""Cable Lying Triceps Extension"" (Extensión de Tríceps Tumbado con Cable). La postura mostrada es una hiperextensión de espalda con resistencia de cable, involucrando principalmente los erectores espinales, glúteos y hombros/dorsales, no los tríceps como músculo principal para el movimiento global. Los tríceps solo tendrían una función estabilizadora menor en los codos, pero el movimiento predominante no es la extensión del codo."
cable_rear_delt_fly.png;Gravedad/Levitación (Crítico): El modelo parece estar flotando en un espacio indefinido. La ausencia de un suelo visible y, consecuentemente, la falta de una sombra de contacto en los pies, no permite verificar un apoyo real y estable, lo cual es fundamental para una representación física coherente.
cable_rope_overhead_triceps_extension.png;BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. El ejercicio representado no se corresponde con la 'cable rope overhead triceps extension'. La modelo está realizando un movimiento que se asemeja más a un front raise con cable o una sentadilla con cable, no una extensión de tríceps por encima de la cabeza.
cable_russian_twists.png;"Sujeto Incorrecto - El ejercicio ""Russian Twists"" es universalmente reconocido como un movimiento abdominal realizado sentado. La imagen muestra una ejecución de pie, que se corresponde con una rotación de cable o anti-rotación de pie, un ejercicio biomecánicamente diferente y con distintos patrones de activación muscular que un ""Russian Twist"" estándar. Por lo tanto, el ejercicio en la imagen no se parece a la ejecución real estándar del ejercicio nombrado."
cable_seated_crunch.png;"Inconsistencia crítica en el equipo. La mano derecha del modelo sostiene una manija conectada a un cable, pero la mano izquierda sostiene una manija idéntica que no está conectada a ningún cable o fuente de resistencia. Esto hace que la ejecución del ejercicio de ""cable seated crunch"" sea biomecánicamente incorrecta e imposible de realizar con resistencia simétrica o con el equipo completo."
cable_seated_lateral_raise.png;"La imagen se titula 'cable_seated_lateral_raise.png', lo que explícitamente indica que el ejercicio debe realizarse sentado. Sin embargo, la modelo se encuentra en una posición de sentadilla profunda, sin ningún tipo de banco o asiento que le proporcione apoyo. Esto crea una inconsistencia crítica en la biomecánica y la física de la imagen, ya que la modelo está ""sentada"" en el aire, lo que se clasifica como levitación para la ejecución de un ejercicio etiquetado como ""sentado""."
cable_shoulder_press.png;GRAVEDAD/LEVITACIÓN (CRÍTICO) - El modelo está levitando en un fondo blanco sin ningún indicio de superficie de apoyo o sombra de contacto. La ausencia de una sombra proyectada por los pies o el cuerpo es una falla crítica que rompe la ilusión de realidad física.
cable_shrugs.png;Falta de sombra de contacto en la base del modelo o un plano de apoyo visible que indique soporte gravitatorio real. No se puede confirmar que el modelo no esté levitando.
cable_wrist_curl.png;"Biomecánica/Anatomía (Sujeto Incorrecto) - El ejercicio realizado en la imagen es claramente un ""Cable Bicep Curl"" (curl de bíceps en polea), dada la flexión del codo y la activación principal del bíceps. Sin embargo, el nombre de archivo 'cable_wrist_curl.png' indica que debería ser un ""Cable Wrist Curl"" (curl de muñeca en polea). La ejecución mostrada no corresponde a un curl de muñeca estándar, donde la muñeca es la articulación principal en movimiento y el antebrazo suele estar estabilizado. Esta incoherencia entre la acción biomecánica mostrada y el nombre del ejercicio es inaceptable."
calf_machine_shoulder_shrug.png;"BIOMECÁNICA/ANATOMÍA (Sujeto Incorrecto) - El nombre de archivo indica 'calf_machine_shoulder_shrug.png'. La máquina en la imagen NO es una máquina de pantorrillas (calf machine), sino una máquina de cable/poleas para la parte superior del cuerpo. Asimismo, el ejercicio que la modelo está realizando NO es un encogimiento de hombros (shoulder shrug), sino una apertura posterior o ""reverse fly"" para deltoides y espalda. Existe una incoherencia crítica entre la descripción del ejercicio/equipo en el nombre del archivo y la representación visual real."
calf_press.png;BIOMECÁNICA/ANATOMÍA - Sujeto Incorrecto. La ejecución del ejercicio mostrado (con las rodillas tan flexionadas) corresponde a la fase de descenso de un 'leg press', no a un 'calf press' como sugiere el nombre del archivo. Para un 'calf press' efectivo y estándar en esta máquina, las rodillas deberían estar considerablemente menos flexionadas.
calf_raises___with_bands.png;"BIOMECÁNICA/ANATOMÍA (CRÍTICO) - Sujeto Incorrecto. La ejecución del ejercicio en la imagen no se corresponde con la descripción ""calf raises"" (elevaciones de gemelos). El pie de apoyo está completamente plano sobre el suelo, y la rodilla de la pierna de apoyo está ligeramente flexionada. La acción principal de una elevación de gemelos es la plantarflexión del tobillo (levantar el talón), la cual no se está realizando ni se anticipa en la postura actual. La imagen representa una postura de equilibrio estático con resistencia, no una elevación de gemelos."
calves_smr.png;Incoherencia entre el nombre de archivo y el contenido visual. El nombre 'calves_smr.png' indica que se está realizando un ejercicio de liberación miofascial para pantorrillas. Sin embargo, en la imagen, el foam roller está posicionado bajo la región de los isquiotibiales/glúteos del modelo, no bajo las pantorrillas.
car_drivers.png;Clipping/Física de objetos: La barra de pesas está posicionada de forma físicamente imposible entre las piernas del modelo, atravesando el espacio donde deberían estar sus muslos, sin ser sostenida, lo que representa una clara violación de la física de objetos sólidos.
chest_and_front_of_shoulder_stretch.png;GRAVEDAD/LEVITACIÓN (CRÍTICO) - Aunque hay un sombreado general bajo los pies del modelo, falta una sombra de contacto nítida y bien definida en los puntos de apoyo que indique inequívocamente un contacto físico real con la superficie. La excesiva difusión de la sombra y la luminosidad del fondo crean una ambigüedad que, bajo un escrutinio extremadamente estricto, no demuestra un apoyo real y firme, sugiriendo una ligera flotación o desapego del suelo.
chest_push__single_response_.png;Manos del modelo levitando: Los puños del modelo están cerrados y elevados, sin hacer contacto ni con el suelo ni con el balón medicinal. Esto resulta en una postura biomecánicamente imposible y viola las leyes de la gravedad para una plancha o flexión estática. El tronco superior carece de soporte visible.
chin_up.png;El equipo esencial para el ejercicio (la barra de dominadas) no muestra ningún sistema de anclaje o soporte visible. Al estar suspendida en un fondo blanco sin puntos de fijación, la barra misma parece flotar en el aire, lo cual es físicamente incoherente para la ejecución de una dominada (chin-up) que requiere una barra firmemente anclada. Esto constituye un fallo crítico de gravedad y física de objetos para el equipo.
