Routine_ID;Target;Order;Exercise;Sets;Reps;Rest;RPE
F-021;Female;4;Dumbbell Reverse Lunge (Rear Foot Elevated, Pause at Bottom);3;12-15;60s;RPE 9
F-021;Female;5;Pause Squat;3-4;6-8;120s;RPE 8-9
F-021;Female;6;Cable Crossover (Low-to-High, Single-Arm);3;12-15;60s;RPE 9
F-022;Female;1;Barbell Sumo Deadlift (Heavy Load, Low Rep);3-4;6-8;120s;RPE 8-9
F-022;Female;2;B-Stance RDL;3;12-15;60s;RPE 9
F-022;Female;3;Barbell Side Split Squat;3-4;6-8;120s;RPE 8-9
F-022;Female;4;Axle Deadlift;3-4;6-8;120s;RPE 8-9
F-022;Female;5;Dumbbell Sumo Squat (High Volume, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-022;Female;6;Weighted Pull-Up;3;12-15;60s;RPE 9
F-023;Female;1;Dumbbell Goblet Squat (Elevated Heels, High Rep);3-4;6-8;120s;RPE 8-9
F-023;Female;2;Leg Extension (Single-Leg, Pause at Top);3;12-15;60s;RPE 9
F-023;Female;3;Leg Extension (Single-Leg, Pause at Top);3;12-15;60s;RPE 9
F-023;Female;4;Zercher Deadlift;3-4;6-8;120s;RPE 8-9
F-023;Female;5;Pause Squat;3-4;6-8;120s;RPE 8-9
F-023;Female;6;Glute Ham Raise (GHR);3;12-15;60s;RPE 9
F-024;Female;1;Single-Leg RDL (Kettlebell, Contralateral Hold);3;12-15;60s;RPE 9
F-024;Female;2;Dumbbell Walking Lunge;3;12-15;60s;RPE 9
F-024;Female;3;Barbell Full Squat;3-4;6-8;120s;RPE 8-9
F-024;Female;4;Barbell Glute Bridge (Banded, Slow Eccentric);3;12-15;60s;RPE 9
F-024;Female;5;Landmine Squat;3-4;6-8;120s;RPE 8-9
F-024;Female;6;Close-Grip Push-Up;3;12-15;60s;RPE 9
F-025;Female;1;Zercher Deadlift;3-4;6-8;120s;RPE 8-9
F-025;Female;2;Deficit Deadlift;3-4;6-8;120s;RPE 8-9
F-025;Female;3;Machine Hack Squat (Narrow Stance, Pause at Top);3-4;6-8;120s;RPE 8-9
F-025;Female;4;Machine Hip Abduction (Torso Erect, Pause at Peak);3;12-15;60s;RPE 9
F-025;Female;5;Reverse Lunge to Knee Drive;3;12-15;60s;RPE 9
F-025;Female;6;Machine Chest Press (Neutral Grip, Pause Reps);3-4;6-8;120s;RPE 8-9
F-026;Female;1;Trap Bar Deadlift;3-4;6-8;120s;RPE 8-9
F-026;Female;2;Dumbbell Bulgarian Split Squat (Front Foot Elevated, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-026;Female;3;Machine Seated Curl (Wide Stance, High Rep);3;12-15;60s;RPE 9
F-026;Female;4;Barbell Full Squat;3-4;6-8;120s;RPE 8-9
F-026;Female;5;Zercher Deadlift;3-4;6-8;120s;RPE 8-9
F-026;Female;6;Dumbbell Front Raise (Standing, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-027;Female;1;Dumbbell Sumo Squat (High Volume, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-027;Female;2;Reverse Hyperextension;3;12-15;60s;RPE 9
F-027;Female;3;Single-Leg Split Squat (Deficit, Dumbbells);3-4;6-8;120s;RPE 8-9
F-027;Female;4;Dumbbell Deadlift (Stiff-Legged, Narrow Stance, High Rep);3-4;6-8;120s;RPE 8-9
F-027;Female;5;Heel Elevated Goblet Squat;3-4;6-8;120s;RPE 8-9
F-027;Female;6;Dynamic Chest Stretch;3;12-15;60s;RPE 9
F-028;Female;1;Narrow Stance Hack Squat;3-4;6-8;120s;RPE 8-9
F-028;Female;2;Barbell Step-Ups;3;12-15;60s;RPE 9
F-028;Female;3;Barbell Lunge;3;12-15;60s;RPE 9
F-028;Female;4;Single-Leg RDL (Kettlebell, Pause at Bottom);3;12-15;60s;RPE 9
F-028;Female;5;Dumbbell One-Arm Triceps Extension;3;12-15;60s;RPE 9
F-028;Female;6;Weighted Decline Sit-Up (Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-029;Female;1;Cable Kickback (Gluteus Medius Focus, Side-Angled);3;12-15;60s;RPE 9
F-029;Female;2;Barbell Sumo Deadlift (Heavy Load, Low Rep);3-4;6-8;120s;RPE 8-9
F-029;Female;3;Hack Squat Machine (Medium Stance, Low Depth, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-029;Female;4;Hack Squat Machine (Medium Stance, Low Depth, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-029;Female;5;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-029;Female;6;Weighted Decline Sit-Up (Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-030;Female;1;Dumbbell Squat;3-4;6-8;120s;RPE 8-9
F-030;Female;2;Machine Hip Abduction (Torso Erect, High Rep);3;12-15;60s;RPE 9
F-030;Female;3;Reverse Lunge to Knee Drive;3;12-15;60s;RPE 9
F-030;Female;4;Deficit Reverse Lunge (Dumbbell);3;12-15;60s;RPE 9
F-030;Female;5;Landmine Lateral Lunge;3;12-15;60s;RPE 9
F-030;Female;6;Landmine Press;3-4;6-8;120s;RPE 8-9
F-031;Female;1;Kang Squat;3-4;6-8;120s;RPE 8-9
F-031;Female;2;Hip Abduction Machine (Heavy Weight, Short Range);3;12-15;60s;RPE 9
F-031;Female;3;Kettlebell Pistol Squat;3-4;6-8;120s;RPE 8-9
F-031;Female;4;Sumo Deadlift (Barbell, High Rep, Light Weight);3-4;6-8;120s;RPE 8-9
F-031;Female;5;Hip Abduction Machine (Heavy Weight, Short Range);3;12-15;60s;RPE 9
F-031;Female;6;French Press;3-4;6-8;120s;RPE 8-9
F-032;Female;1;Cable Adduction (Standing, Heavy Load, Low Rep);3;12-15;60s;RPE 9
F-032;Female;2;Anderson Squat;3-4;6-8;120s;RPE 8-9
F-032;Female;3;Dumbbell Reverse Lunge (Front Foot Elevated, Glute Focus);3;12-15;60s;RPE 9
F-032;Female;4;Hack Squat Machine (Wide Stance, Pause at Top);3-4;6-8;120s;RPE 8-9
F-032;Female;5;Smith Machine Split Squat (Deficit, Pause Reps);3-4;6-8;120s;RPE 8-9
F-032;Female;6;Cable Crossover (Low-to-High);3;12-15;60s;RPE 9
F-033;Female;1;Dumbbell Walking Lunge;3;12-15;60s;RPE 9
F-033;Female;2;Reverse Lunge to Knee Drive;3;12-15;60s;RPE 9
F-033;Female;3;Banded Clamshells;3;12-15;60s;RPE 9
F-033;Female;4;Lateral Lunge (Dumbbell);3;12-15;60s;RPE 9
F-033;Female;5;Cable Kickback (Gluteus Medius Focus, Side-Angled);3;12-15;60s;RPE 9
F-033;Female;6;Cable Front Raise;3;12-15;60s;RPE 9
F-034;Female;1;Single-Leg Split Squat (Deficit, Dumbbells);3-4;6-8;120s;RPE 8-9
F-034;Female;2;Barbell Lunge;3;12-15;60s;RPE 9
F-034;Female;3;Dumbbell Goblet Squat (Elevated Heels);3-4;6-8;120s;RPE 8-9
F-034;Female;4;Frog Pump;3;12-15;60s;RPE 9
F-034;Female;5;Curtsy Lunge (Dumbbell);3;12-15;60s;RPE 9
F-034;Female;6;Dumbbell Hammer Curl (Seated, High Rep);3;12-15;60s;RPE 9
F-035;Female;1;Seated Abduction Machine (Forward Lean);3;12-15;60s;RPE 9
F-035;Female;2;Box Squat;3-4;6-8;120s;RPE 8-9
F-035;Female;3;Hack Squat Machine (Medium Stance, Low Depth, High Rep);3-4;6-8;120s;RPE 8-9
F-035;Female;4;Banded Hip Thrust;3;12-15;60s;RPE 9
F-035;Female;5;Dumbbell Goblet Squat (Banded, Feet Turned Out);3-4;6-8;120s;RPE 8-9
F-035;Female;6;Cable Face Pull with External Rotation;3;12-15;60s;RPE 9
F-036;Female;1;Reverse Hyperextension;3;12-15;60s;RPE 9
F-036;Female;2;Dumbbell Sumo Squat (High Volume, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-036;Female;3;Barbell Front Squat (High Bar, Deep Depth);3-4;6-8;120s;RPE 8-9
F-036;Female;4;Barbell Lunge;3;12-15;60s;RPE 9
F-036;Female;5;Barbell Sumo Deadlift (Heavy Load, Low Rep);3-4;6-8;120s;RPE 8-9
F-036;Female;6;Rocket Jump;3;12-15;60s;RPE 9
F-037;Female;1;Dumbbell Romanian Deadlift (RDL);3-4;6-8;120s;RPE 8-9
F-037;Female;2;Reverse Lunge to Knee Drive;3;12-15;60s;RPE 9
F-037;Female;3;Reverse Nordic Curl;3;12-15;60s;RPE 9
F-037;Female;4;Dumbbell Bulgarian Split Squat;3-4;6-8;120s;RPE 8-9
F-037;Female;5;Poliquin Step-Up;3;12-15;60s;RPE 9
F-037;Female;6;Box Jump (Multiple Response);3;12-15;60s;RPE 9
F-038;Female;1;Barbell Sumo Deadlift (Heavy Load, Low Rep);3-4;6-8;120s;RPE 8-9
F-038;Female;2;Curtsy Lunge (Dumbbell);3;12-15;60s;RPE 9
F-038;Female;3;Machine Hack Squat (Wide Stance, High Rep);3-4;6-8;120s;RPE 8-9
F-038;Female;4;Plie Squat;3-4;6-8;120s;RPE 8-9
F-038;Female;5;Hack Squat Machine (Narrow Stance, Low Rep Focus);3-4;6-8;120s;RPE 8-9
F-038;Female;6;Z Press;3-4;6-8;120s;RPE 8-9
F-039;Female;1;Dumbbell Goblet Squat (Banded, Feet Turned Out);3-4;6-8;120s;RPE 8-9
F-039;Female;2;Donkey Kicks (Smith Machine);3;12-15;60s;RPE 9
F-039;Female;3;Dumbbell Reverse Lunge (Rear Foot Elevated, Pause at Bottom);3;12-15;60s;RPE 9
F-039;Female;4;Deficit Deadlift;3-4;6-8;120s;RPE 8-9
F-039;Female;5;Landmine Lateral Lunge;3;12-15;60s;RPE 9
F-039;Female;6;Preacher Curl (EZ Bar);3;12-15;60s;RPE 9
F-040;Female;1;Dumbbell Deadlift (Stiff-Legged, Heavy Load, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-040;Female;2;Reverse Hyperextension (Stability Ball);3;12-15;60s;RPE 9
F-040;Female;3;Dumbbell Romanian Deadlift (RDL);3-4;6-8;120s;RPE 8-9
F-040;Female;4;Dumbbell Reverse Lunge (Front Foot Elevated, Tempo Negative);3;12-15;60s;RPE 9
F-040;Female;5;Dumbbell Split Squat (Rear Foot Elevated, Close Stance, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-040;Female;6;Wrist Roller;3;12-15;60s;RPE 9
F-041;Female;1;Dumbbell Deadlift (Stiff-Legged, Narrow Stance, High Rep);3-4;6-8;120s;RPE 8-9
F-041;Female;2;Single-Leg RDL (Dumbbell, Balance Focus, Eyes Closed);3;12-15;60s;RPE 9
F-041;Female;3;Heel Elevated Goblet Squat;3-4;6-8;120s;RPE 8-9
F-041;Female;4;Front Foot Elevated Split Squat;3-4;6-8;120s;RPE 8-9
F-041;Female;5;Cable Adduction (Standing, Contralateral Hold);3;12-15;60s;RPE 9
F-041;Female;6;Dumbbell Bench Press (Heavy Load, Wide Grip, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-042;Female;1;Cable Adduction (Standing, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-042;Female;2;Weighted Sissy Squat;3-4;6-8;120s;RPE 8-9
F-042;Female;3;Barbell Reverse Lunge (Deficit, Pause at Bottom);3;12-15;60s;RPE 9
F-042;Female;4;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-042;Female;5;Single-Leg RDL (Kettlebell, Pause at Bottom, Tempo Negative);3;12-15;60s;RPE 9
F-042;Female;6;Alternate Heel Touchers;3;12-15;60s;RPE 9
F-043;Female;1;Hack Squat Machine (Medium Stance, Low Depth);3-4;6-8;120s;RPE 8-9
F-043;Female;2;Reverse Lunge to Knee Drive;3;12-15;60s;RPE 9
F-043;Female;3;Hyperextensions;3;12-15;60s;RPE 9
F-043;Female;4;Cable Adduction (Standing, Heavy Load, Tempo Negative);3;12-15;60s;RPE 9
F-043;Female;5;Cable Pull-Through (Deep Hip Hinge, High Rep);3;12-15;60s;RPE 9
F-043;Female;6;Hex Press;3-4;6-8;120s;RPE 8-9
F-044;Female;1;Cable Pull-Through (Rope, High Rep, Max Pump);3;12-15;60s;RPE 9
F-044;Female;2;Hack Squat Machine (Narrow Stance, Low Foot, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-044;Female;3;Cable Pull-Through (Deep Hip Hinge, High Rep);3;12-15;60s;RPE 9
F-044;Female;4;Dumbbell Goblet Squat (Banded, Feet Turned Out);3-4;6-8;120s;RPE 8-9
F-044;Female;5;Pin Squat;3-4;6-8;120s;RPE 8-9
F-044;Female;6;Cable Rear Delt Row (Underhand Grip, Low Pulley, Pause at Peak);3;12-15;60s;RPE 9
F-045;Female;1;Dumbbell Bulgarian Split Squat (Front Foot Elevated, Tempo Negative);3-4;6-8;120s;RPE 8-9
F-045;Female;2;B-Stance RDL;3;12-15;60s;RPE 9
F-045;Female;3;Cable Donkey Kick;3;12-15;60s;RPE 9
F-045;Female;4;Machine Hip Abduction (Torso Erect, Pause at Peak);3;12-15;60s;RPE 9
F-045;Female;5;Single-Leg RDL (Kettlebell, Pause at Bottom);3;12-15;60s;RPE 9
F-045;Female;6;Dumbbell Shrug;3;12-15;60s;RPE 9
F-046;Female;1;Machine Hack Squat (Wide Stance, High Rep);3-4;6-8;120s;RPE 8-9
F-046;Female;2;Glute Bridge March;3;12-15;60s;RPE 9
F-046;Female;3;Cable Step-Up;3;12-15;60s;RPE 9
F-046;Female;4;Machine Hack Squat (Medium Stance, Pause at Bottom);3-4;6-8;120s;RPE 8-9
F-046;Female;5;Hack Squat Machine (Medium Stance, Low Depth, High Rep);3-4;6-8;120s;RPE 8-9
F-046;Female;6;Preacher Curl (Single-Arm, Dumbbell, Pause at Peak);3;12-15;60s;RPE 9
F-047;Female;1;Kettlebell Pistol Squat;3-4;6-8;120s;RPE 8-9
F-047;Female;2;Stiff-Leg Barbell Deadlift;3-4;6-8;120s;RPE 8-9
F-047;Female;3;Dumbbell Squat;3-4;6-8;120s;RPE 8-9
F-047;Female;4;Barbell Step-Ups (Reverse, Heavy Load, Pause at Peak);3;12-15;60s;RPE 9
F-047;Female;5;Anderson Squat;3-4;6-8;120s;RPE 8-9
F-047;Female;6;Running (Treadmill);3;12-15;60s;RPE 9
F-048;Female;1;Barbell Sumo Deadlift (Heavy Load, Low Rep);3-4;6-8;120s;RPE 8-9
F-048;Female;2;Reverse Hyperextension;3;12-15;60s;RPE 9
F-048;Female;3;Safety Bar Squat;3-4;6-8;120s;RPE 8-9
F-048;Female;4;Barbell Reverse Lunge (Glute Focus, Forward Lean);3;12-15;60s;RPE 9
F-048;Female;5;Single-Leg Split Squat (Deficit, Dumbbells);3-4;6-8;120s;RPE 8-9
F-048;Female;6;Cable Wrist Curl;3;12-15;60s;RPE 9
F-049;Female;1;Dumbbell Reverse Lunge (Front Foot Elevated, Glute Focus);3;12-15;60s;RPE 9
F-049;Female;2;Dumbbell Goblet Squat (Elevated Heels);3-4;6-8;120s;RPE 8-9
F-049;Female;3;Hyperextension (Weighted, Glute Focus, Tempo Negative);3;12-15;60s;RPE 9
F-049;Female;4;Frog Pump;3;12-15;60s;RPE 9
F-049;Female;5;Sumo Deadlift;3-4;6-8;120s;RPE 8-9
F-049;Female;6;Dumbbell Concentration Curl (Seated, High Rep, Long Head);3;12-15;60s;RPE 9
F-050;Female;1;Single-Leg RDL (Kettlebell, Contralateral Hold);3;12-15;60s;RPE 9
F-050;Female;2;Single-Leg Split Squat (Deficit, Dumbbells);3-4;6-8;120s;RPE 8-9
F-050;Female;3;Machine Seated Curl (Wide Stance, Slow Negative);3;12-15;60s;RPE 9
F-050;Female;4;Zercher Lunge;3;12-15;60s;RPE 9
F-050;Female;5;Barbell Front Squat (High Bar, Deep Depth);3-4;6-8;120s;RPE 8-9
F-050;Female;6;Behind the Head Chest Stretch;3;12-15;60s;RPE 9
F-051;Female;1;Trap Bar Deadlift;3-4;6-8;120s;RPE 8-9
F-051;Female;2;Cable Kickback (Gluteus Medius Focus, Side-Angled, Pause at Peak);3;12-15;60s;RPE 9
